Engine_Supplier_Region,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Supplier_Region,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Supplier_Region,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Supplier_Region,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Supplier_Region,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Order_Urgency,Holiday_Proximity,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index,Month_Scheduled,Quarter_Scheduled,Sum_Critical_Parts_Delayed
NORTH,AIR,0,WEST,AIR,1,SOUTH,SEA,0,NORTH,AIR,0,NORTH,ROAD,0,1,1,1,0,0,1,1,LOW,0,STORM,0,EVENING,3,URBAN,69.1062998087163,MODERATE,0.31,250,NORTH_AIR,WEST_AIR,SOUTH_SEA,NORTH_AIR,NORTH_ROAD,0.3857142857142857,0.2790697674418604,0.2826086956521739,0.3116883116883117,0.3103448275862069,1.2,3,1,1
SOUTH,ROAD,1,NORTH,ROAD,1,EAST,ROAD,0,NORTH,AIR,0,SOUTH,ROAD,1,1,0,1,1,1,0,1,LOW,0,CLEAR,0,EVENING,3,URBAN,44.37456756876063,MODERATE,0.25,250,SOUTH_ROAD,NORTH_ROAD,EAST_ROAD,NORTH_AIR,SOUTH_ROAD,0.3214285714285714,0.3291139240506329,0.2602739726027397,0.3116883116883117,0.2988505747126437,1.2,3,1,1
EAST,SEA,0,EAST,ROAD,1,NORTH,SEA,0,SOUTH,ROAD,1,NORTH,AIR,1,1,0,1,1,1,0,1,MEDIUM,0,CLEAR,0,NIGHT,3,URBAN,35.638561176573056,HIGH,0.63,250,WEST_SEA,EAST_ROAD,NORTH_SEA,SOUTH_ROAD,NORTH_AIR,0.2926829268292683,0.2790697674418604,0.2738095238095238,0.2244897959183673,0.325,1.5,3,1,2
EAST,SEA,1,SOUTH,AIR,0,WEST,ROAD,1,WEST,AIR,1,EAST,AIR,1,0,1,0,0,0,0,1,LOW,0,RAIN,0,EVENING,1,URBAN,54.837614480782506,LOW,1.59,100,EAST_SEA,SOUTH_AIR,WEST_ROAD,WEST_AIR,EAST_AIR,0.2435897435897435,0.3,0.2717391304347826,0.3218390804597701,0.2988505747126437,1.0,3,1,1
WEST,AIR,1,NORTH,AIR,1,WEST,AIR,1,SOUTH,SEA,0,NORTH,ROAD,0,0,0,0,1,0,1,1,LOW,0,CLEAR,0,NIGHT,2,URBAN,41.28143718150839,LOW,0.8,100,WEST_SEA,NORTH_AIR,WEST_AIR,SOUTH_SEA,NORTH_ROAD,0.2926829268292683,0.2790697674418604,0.2842105263157894,0.2183908045977011,0.3103448275862069,1.0,3,1,1
WEST,SEA,1,EAST,SEA,1,WEST,AIR,1,WEST,AIR,1,NORTH,AIR,1,1,0,1,1,1,0,1,LOW,0,SNOW,0,NIGHT,3,URBAN,12.196070340088422,LOW,0.0,100,WEST_SEA,EAST_SEA,WEST_AIR,WEST_AIR,NORTH_AIR,0.2435897435897435,0.3424657534246575,0.2842105263157894,0.3218390804597701,0.325,1.0,3,1,3
NORTH,SEA,1,WEST,AIR,1,SOUTH,ROAD,1,NORTH,ROAD,1,NORTH,AIR,1,1,0,1,0,1,1,1,MEDIUM,0,CLEAR,0,NIGHT,3,RURAL,468.1613822329744,HIGH,0.0,250,NORTH_SEA,WEST_AIR,SOUTH_ROAD,NORTH_ROAD,NORTH_AIR,0.2894736842105263,0.2790697674418604,0.2888888888888888,0.2688172043010752,0.325,1.5,3,1,3
WEST,ROAD,1,SOUTH,SEA,1,SOUTH,AIR,0,SOUTH,ROAD,0,NORTH,ROAD,1,1,1,0,1,0,0,1,MEDIUM,0,SNOW,0,EVENING,2,RURAL,405.7276785837361,LOW,0.38,250,WEST_ROAD,SOUTH_SEA,SOUTH_AIR,SOUTH_ROAD,NORTH_ROAD,0.2435897435897435,0.3163265306122449,0.2602739726027397,0.2244897959183673,0.3103448275862069,1.0,3,1,1
WEST,ROAD,1,NORTH,ROAD,0,NORTH,AIR,1,SOUTH,ROAD,0,EAST,AIR,1,0,0,1,0,1,0,0,LOW,0,SNOW,0,MORNING,2,URBAN,77.95377358716505,LOW,0.67,750,WEST_SEA,NORTH_ROAD,NORTH_AIR,SOUTH_ROAD,EAST_AIR,0.2926829268292683,0.3291139240506329,0.2602739726027397,0.2244897959183673,0.2988505747126437,1.0,3,1,0
WEST,AIR,1,NORTH,ROAD,0,WEST,AIR,1,EAST,SEA,1,EAST,AIR,0,1,1,1,0,1,1,1,MEDIUM,0,CLEAR,0,MORNING,4,URBAN,58.71667017709634,HIGH,0.32,100,WEST _AIR,NORTH_ROAD,WEST_AIR,EAST_SEA,EAST_AIR,0.3857142857142857,0.3291139240506329,0.2842105263157894,0.2391304347826087,0.2988505747126437,1.5,3,1,2
NORTH,ROAD,0,WEST,AIR,1,SOUTH,AIR,0,WEST,AIR,0,NORTH,ROAD,0,0,1,0,1,0,0,0,HIGH,1,CLEAR,0,NIGHT,2,MIXED,169.48059364642643,MODERATE,0.58,100,NORTH_ROAD,WEST_AIR,SOUTH_AIR,WEST_AIR,NORTH_ROAD,0.2926829268292683,0.2790697674418604,0.2602739726027397,0.3218390804597701,0.3103448275862069,1.2,3,1,0
EAST,ROAD,0,EAST,AIR,1,NORTH,SEA,0,EAST,SEA,1,WEST,AIR,0,1,1,1,1,0,1,1,HIGH,0,RAIN,1,MORNING,4,MIXED,68.03135830559127,LOW,0.44,250,EAST_ROAD,EAST_AIR,NORTH_SEA,EAST_SEA,WEST_AIR,0.3026315789473684,0.3285714285714285,0.2738095238095238,0.2391304347826087,0.3409090909090909,1.0,3,1,1
NORTH,AIR,1,SOUTH,ROAD,0,EAST,SEA,1,SOUTH,ROAD,1,WEST,SEA,1,1,1,1,1,1,1,1,HIGH,0,STORM,1,EVENING,5,MIXED,169.2214323124894,LOW,0.03,100,NORTH_AIR,SOUTH_ROAD,EAST_SEA,SOUTH_ROAD,WEST_SEA,0.3857142857142857,0.3055555555555556,0.2602739726027397,0.2244897959183673,0.4,1.0,3,1,4
NORTH,ROAD,0,SOUTH,AIR,0,SOUTH,SEA,0,EAST,SEA,1,WEST,AIR,0,1,1,1,0,1,0,1,MEDIUM,0,CLEAR,0,MORNING,3,URBAN,44.256096412892205,MODERATE,0.32,100,NORTH_ROAD,SOUTH_AIR,SOUTH_SEA,EAST_SEA,WEST_AIR,0.2926829268292683,0.3,0.2826086956521739,0.2391304347826087,0.3409090909090909,1.2,3,1,1
NORTH,ROAD,0,SOUTH,AIR,0,SOUTH,SEA,0,EAST,SEA,1,WEST,AIR,0,1,1,1,0,1,0,1,MEDIUM,0,CLEAR,0,MORNING,3,MIXED,70.88680566763927,MODERATE,0.53,100,NORTH_ROAD,SOUTH_AIR,WEST_AIR,EAST_SEA,WEST_AIR,0.2926829268292683,0.3,0.2826086956521739,0.2391304347826087,0.3409090909090909,1.2,3,1,1
NORTH,SEA,1,SOUTH,SEA,1,SOUTH,ROAD,1,NORTH,SEA,1,SOUTH,SEA,1,1,1,0,1,0,1,1,MEDIUM,0,SNOW,0,NIGHT,3,URBAN,61.35487719749467,LOW,0.39,100,NORTH_SEA,SOUTH_SEA,SOUTH_ROAD,NORTH_SEA,SOUTH_SEA,0.2894736842105263,0.3163265306122449,0.2888888888888888,0.1969696969696969,0.3452380952380952,1.0,3,1,3
SOUTH,AIR,1,SOUTH,SEA,1,EAST,SEA,1,WEST,SEA,1,EAST,ROAD,1,1,0,0,0,0,1,1,MEDIUM,0,RAIN,0,EVENING,1,RURAL,421.8088984771096,HIGH,0.78,250,SOUTH_AIR,SOUTH_SEA,EAST_SEA,WEST_SEA,EAST_ROAD,0.2702702702702703,0.3163265306122449,0.2602739726027397,0.2352941176470588,0.2988505747126437,1.5,3,1,1
SOUTH,AIR,0,WEST,ROAD,1,WEST,ROAD,0,NORTH,ROAD,1,EAST,SEA,0,1,1,1,0,0,1,1,HIGH,1,RAIN,0,MORNING,3,MIXED,196.21897432201743,HIGH,0.41,250,SOUTH_AIR,WEST_ROAD,WEST_ROAD,NORTH_ROAD,EAST_SEA,0.2702702702702703,0.2790697674418604,0.2717391304347826,0.2688172043010752,0.2988505747126437,1.5,3,1,1
SOUTH,ROAD,0,WEST,ROAD,0,NORTH,SEA,0,WEST,SEA,1,WEST,ROAD,0,0,1,1,0,1,1,1,LOW,0,STORM,0,NIGHT,4,URBAN,99.47254250990508,LOW,0.84,250,SOUTH_ROAD,WEST_ROAD,NORTH_SEA,WEST_SEA,WEST_ROAD,0.3214285714285714,0.2790697674418604,0.2738095238095238,0.2352941176470588,0.3555555555555555,1.0,3,1,1
SOUTH,ROAD,1,EAST,ROAD,0,SOUTH,SEA,0,SOUTH,ROAD,1,NORTH,SEA,1,0,1,0,1,1,0,1,HIGH,0,CLEAR,0,MORNING,3,MIXED,70.46596288350997,MODERATE,0.66,500,SOUTH_ROAD,EAST_ROAD,SOUTH_SEA,SOUTH_ROAD,NORTH_SEA,0.3214285714285714,0.2790697674418604,0.2826086956521739,0.2244897959183673,0.3246753246753247,1.2,3,1,2
WEST,AIR,1,EAST,AIR,1,SOUTH,AIR,1,EAST,ROAD,1,SOUTH,AIR,0,0,0,0,1,0,0,1,HIGH,0,STORM,0,EVENING,1,MIXED,95.14453504202244,LOW,0.84,100,WEST_AIR,EAST_AIR,SOUTH_AIR,EAST_ROAD,SOUTH_AIR,0.3461538461538461,0.3285714285714285,0.2602739726027397,0.2647058823529412,0.3375,1.0,3,1,1
NORTH,SEA,0,SOUTH,AIR,0,NORTH,SEA,1,WEST,ROAD,1,SOUTH,ROAD,1,0,1,0,0,0,1,1,MEDIUM,0,RAIN,0,EVENING,2,RURAL,272.74913540809854,MODERATE,0.53,250,NORTH_SEA,SOUTH_AIR,NORTH_SEA,WEST_ROAD,SOUTH_ROAD,0.2894736842105263,0.3,0.2738095238095238,0.3563218390804598,0.2988505747126437,1.2,3,1,1
WEST,SEA,1,SOUTH,SEA,1,NORTH,SEA,1,SOUTH,SEA,1,WEST,ROAD,1,0,1,0,1,0,1,1,MEDIUM,0,STORM,0,MORNING,3,MIXED,189.21254604890743,LOW,0.8,250,WEST_SEA,SOUTH_SEA,NORTH_SEA,SOUTH_SEA,WEST_ROAD,0.2435897435897435,0.3163265306122449,0.2738095238095238,0.2183908045977011,0.3555555555555555,1.0,3,1,3
WEST,AIR,0,SOUTH,AIR,0,NORTH,ROAD,1,SOUTH,ROAD,1,WEST,AIR,1,0,1,1,1,1,1,1,MEDIUM,0,CLEAR,0,NIGHT,5,RURAL,175.22951759953568,LOW,0.58,250,WEST_AIR,SOUTH_AIR,NORTH_ROAD,SOUTH_ROAD,WEST_AIR,0.3461538461538461,0.3,0.3289473684210526,0.2244897959183673,0.3409090909090909,1.0,3,1,3
EAST,ROAD,1,SOUTH,SEA,1,SOUTH,SEA,0,SOUTH,SEA,1,NORTH,SEA,1,1,1,1,1,1,0,1,MEDIUM,0,CLEAR,0,EVENING,4,RURAL,153.86094255002652,MODERATE,0.71,100,EAST_ROAD,SOUTH_SEA,SOUTH_SEA,SOUTH_SEA,NORTH_SEA,0.3026315789473684,0.3163265306122449,0.2826086956521739,0.2183908045977011,0.3246753246753247,1.2,3,1,3
WEST,SEA,1,WEST,ROAD,1,EAST,SEA,1,EAST,AIR,1,NORTH,ROAD,1,1,0,0,0,1,1,1,MEDIUM,0,STORM,0,MORNING,2,MIXED,72.86240199956262,LOW,0.82,100,WEST_SEA,WEST_ROAD,EAST_SEA,EAST_AIR,NORTH_ROAD,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2528735632183908,0.3103448275862069,1.0,3,1,2
WEST,SEA,0,EAST,AIR,1,WEST,ROAD,0,EAST,AIR,0,WEST,ROAD,1,0,1,0,0,0,0,0,MEDIUM,0,CLEAR,0,EVENING,1,MIXED,100.55047646469292,MODERATE,0.66,250,WEST_SEA,SOUTH_SEA,WEST_ROAD,EAST_AIR,WEST_ROAD,0.2926829268292683,0.3,0.2717391304347826,0.2528735632183908,0.3555555555555555,1.2,3,1,0
SOUTH,ROAD,1,SOUTH,ROAD,1,NORTH,SEA,0,SOUTH,AIR,1,NORTH,ROAD,1,1,0,0,0,0,1,1,LOW,0,CLEAR,0,EVENING,1,URBAN,55.55276765562197,MODERATE,0.56,1000,SOUTH_ROAD,SOUTH_ROAD,NORTH_SEA,SOUTH_AIR,NORTH_ROAD,0.3214285714285714,0.3055555555555556,0.2738095238095238,0.2891566265060241,0.3103448275862069,1.2,3,1,1
NORTH,AIR,1,NORTH,AIR,1,WEST,ROAD,0,EAST,ROAD,1,NORTH,AIR,0,1,1,0,1,0,1,1,MEDIUM,0,CLEAR,0,NIGHT,3,RURAL,346.5196057858333,HIGH,0.2,100,NORTH_AIR,NORTH_AIR,WEST_ROAD,EAST_ROAD,NORTH_AIR,0.3857142857142857,0.2790697674418604,0.2717391304347826,0.2647058823529412,0.325,1.5,3,1,1
WEST,ROAD,1,SOUTH,AIR,1,WEST,AIR,1,WEST,ROAD,0,SOUTH,SEA,0,1,0,0,1,0,0,1,MEDIUM,0,CLEAR,0,MORNING,1,MIXED,199.23617339696528,HIGH,0.5,250,WEST_ROAD,SOUTH_AIR,WEST_AIR,WEST_ROAD,SOUTH_SEA,0.2435897435897435,0.3,0.2842105263157894,0.3563218390804598,0.3452380952380952,1.5,3,1,1
NORTH,SEA,1,WEST,ROAD,1,NORTH,AIR,1,NORTH,AIR,1,WEST,SEA,1,1,1,1,1,0,0,1,LOW,0,CLEAR,0,NIGHT,3,URBAN,84.47841060101868,MODERATE,0.1,250,NORTH_SEA,WEST_ROAD,NORTH_AIR,NORTH_AIR,WEST_SEA,0.2894736842105263,0.2790697674418604,0.2602739726027397,0.3116883116883117,0.4,1.2,3,1,3
SOUTH,SEA,1,NORTH,SEA,1,NORTH,SEA,1,EAST,SEA,1,SOUTH,ROAD,1,0,0,0,0,0,1,1,MEDIUM,0,STORM,0,MORNING,1,MIXED,63.179974871725,LOW,0.86,100,SOUTH_SEA,NORTH_SEA,NORTH_SEA,EAST_SEA,SOUTH_ROAD,0.3164556962025316,0.4375,0.2738095238095238,0.2391304347826087,0.2988505747126437,1.0,3,1,1
WEST,ROAD,1,WEST,SEA,1,SOUTH,ROAD,1,NORTH,SEA,0,NORTH,AIR,1,1,1,1,1,0,0,1,LOW,0,STORM,0,NIGHT,3,URBAN,36.24963208383729,LOW,0.6,750,WEST_SEA,WEST_SEA,SOUTH_ROAD,NORTH_SEA,NORTH_AIR,0.2926829268292683,0.2839506172839506,0.2888888888888888,0.1969696969696969,0.325,1.0,3,1,3
WEST,AIR,0,WEST,AIR,1,EAST,ROAD,0,WEST,AIR,0,WEST,AIR,0,0,1,0,1,1,0,0,MEDIUM,0,CLEAR,0,NIGHT,3,RURAL,214.8184487536137,LOW,0.71,500,WEST_AIR,WEST_AIR,EAST_ROAD,WEST_AIR,WEST_AIR,0.3461538461538461,0.2790697674418604,0.2602739726027397,0.3218390804597701,0.3409090909090909,1.0,3,1,0
EAST,AIR,1,SOUTH,AIR,0,EAST,ROAD,1,WEST,ROAD,0,EAST,SEA,0,0,0,1,0,1,1,0,LOW,0,STORM,0,MORNING,3,URBAN,93.27234856740992,LOW,0.71,250,EAST_AIR,SOUTH_AIR,EAST_ROAD,WEST_ROAD,EAST_SEA,0.2435897435897435,0.3,0.2602739726027397,0.3563218390804598,0.2988505747126437,1.0,3,1,0
NORTH,AIR,1,WEST,SEA,0,SOUTH,AIR,0,NORTH,ROAD,0,EAST,AIR,1,0,0,0,1,1,1,1,MEDIUM,0,RAIN,0,MORNING,3,MIXED,118.21097834507889,LOW,0.7,250,NORTH_AIR,WEST_SEA,SOUTH_AIR,NORTH_ROAD,EAST_AIR,0.3857142857142857,0.2839506172839506,0.2602739726027397,0.2688172043010752,0.2988505747126437,1.0,3,1,1
NORTH,AIR,0,NORTH,ROAD,1,SOUTH,ROAD,0,WEST,ROAD,1,WEST,ROAD,0,0,1,1,1,0,1,1,MEDIUM,0,CLEAR,0,MORNING,4,RURAL,359.3788529223086,LOW,0.83,250,NORTH_AIR,NORTH_ROAD,SOUTH_ROAD,WEST_ROAD,WEST_ROAD,0.3857142857142857,0.3291139240506329,0.2888888888888888,0.3563218390804598,0.3555555555555555,1.0,3,1,1
SOUTH,ROAD,0,WEST,ROAD,0,SOUTH,ROAD,0,WEST,SEA,1,NORTH,AIR,1,0,0,1,1,1,1,1,LOW,1,CLEAR,0,MORNING,4,URBAN,75.44521627896772,MODERATE,0.7,100,SOUTH_ROAD,WEST_ROAD,SOUTH_ROAD,WEST_SEA,NORTH_AIR,0.3214285714285714,0.2790697674418604,0.2888888888888888,0.2352941176470588,0.325,1.2,3,1,2
EAST,ROAD,0,EAST,AIR,0,EAST,SEA,0,EAST,AIR,1,NORTH,SEA,1,0,1,0,0,1,0,1,MEDIUM,0,CLEAR,0,MORNING,2,RURAL,443.9514560033521,MODERATE,0.84,250,EAST_ROAD,EAST_AIR,EAST_SEA,EAST_AIR,NORTH_SEA,0.3026315789473684,0.3285714285714285,0.2602739726027397,0.2528735632183908,0.3246753246753247,1.2,3,1,1
NORTH,SEA,1,WEST,ROAD,1,NORTH,SEA,1,WEST,ROAD,1,SOUTH,SEA,1,1,0,1,1,1,1,1,MEDIUM,0,CLEAR,0,MORNING,4,RURAL,404.7787574408178,MODERATE,0.42,750,NORTH_SEA,WEST_ROAD,NORTH_SEA,WEST_ROAD,SOUTH_SEA,0.2894736842105263,0.2790697674418604,0.2738095238095238,0.3563218390804598,0.3452380952380952,1.2,3,1,4
SOUTH,AIR,1,WEST,AIR,1,EAST,SEA,1,WEST,SEA,1,NORTH,SEA,1,0,0,1,0,0,0,1,MEDIUM,0,RAIN,0,EVENING,1,MIXED,151.47700786658697,LOW,0.68,750,SOUTH_AIR,WEST_AIR,EAST_SEA,WEST_SEA,NORTH_SEA,0.2702702702702703,0.2790697674418604,0.2602739726027397,0.2352941176470588,0.3246753246753247,1.0,3,1,1
NORTH,SEA,1,SOUTH,SEA,1,SOUTH,AIR,1,SOUTH,ROAD,0,WEST,SEA,0,1,0,1,0,1,1,1,HIGH,0,CLEAR,0,EVENING,3,MIXED,148.6767956904554,HIGH,0.5,250,NORTH_SEA,SOUTH_SEA,SOUTH_AIR,SOUTH_ROAD,WEST_SEA,0.2894736842105263,0.3163265306122449,0.2602739726027397,0.2244897959183673,0.4,1.5,3,1,1
WEST,AIR,0,SOUTH,ROAD,1,SOUTH,AIR,1,WEST,SEA,1,EAST,SEA,0,1,1,1,1,1,0,1,MEDIUM,0,RAIN,1,MORNING,4,MIXED,127.33940428688754,LOW,0.0,100,WEST_AIR,SOUTH_ROAD,SOUTH_AIR,WEST_SEA,EAST_SEA,0.3461538461538461,0.3055555555555556,0.2602739726027397,0.2352941176470588,0.2988505747126437,1.0,3,1,3
NORTH,SEA,0,WEST,SEA,1,NORTH,ROAD,0,NORTH,SEA,1,EAST,AIR,0,1,1,1,1,0,1,1,MEDIUM,0,STORM,0,MORNING,4,RURAL,186.5987441170401,MODERATE,0.89,250,NORTH_SEA,WEST_SEA,NORTH_ROAD,NORTH_SEA,EAST_AIR,0.2894736842105263,0.2839506172839506,0.3289473684210526,0.1969696969696969,0.2988505747126437,1.2,3,1,1
EAST,SEA,0,NORTH,AIR,0,SOUTH,ROAD,1,WEST,ROAD,0,EAST,SEA,1,1,1,1,1,1,0,1,LOW,0,RAIN,0,MORNING,4,URBAN,93.43008711318656,LOW,0.05,100,WEST_SEA,NORTH_AIR,SOUTH_ROAD,WEST_ROAD,EAST_SEA,0.2926829268292683,0.2790697674418604,0.2888888888888888,0.3563218390804598,0.2988505747126437,1.0,3,1,1
WEST,SEA,1,NORTH,SEA,1,WEST,AIR,1,WEST,ROAD,0,WEST,SEA,0,1,0,0,1,1,0,1,MEDIUM,0,CLEAR,0,MORNING,2,RURAL,301.90677816085633,HIGH,0.42,500,WEST_SEA,NORTH_SEA,WEST_AIR,WEST_ROAD,WEST_SEA,0.2435897435897435,0.4375,0.2842105263157894,0.3563218390804598,0.4,1.5,3,1,1
EAST,SEA,0,NORTH,SEA,0,EAST,SEA,1,EAST,AIR,0,WEST,ROAD,1,0,1,1,0,1,1,1,LOW,0,CLEAR,0,EVENING,4,URBAN,72.56300986428344,LOW,0.9,250,EAST_SEA,NORTH_SEA,EAST_SEA,EAST_AIR,WEST_ROAD,0.2435897435897435,0.4375,0.2602739726027397,0.2528735632183908,0.3555555555555555,1.0,3,1,1
NORTH,ROAD,1,SOUTH,AIR,1,SOUTH,AIR,1,WEST,ROAD,1,WEST,AIR,0,1,0,0,0,1,1,1,MEDIUM,0,CLEAR,0,MORNING,2,RURAL,192.66013266793163,MODERATE,0.25,100,NORTH_ROAD,SOUTH_AIR,WEST_AIR,WEST_ROAD,WEST_AIR,0.2926829268292683,0.3,0.2826086956521739,0.3563218390804598,0.3409090909090909,1.2,3,1,1
SOUTH,ROAD,0,NORTH,ROAD,1,WEST,AIR,1,SOUTH,AIR,0,NORTH,AIR,0,1,1,1,0,1,0,1,HIGH,0,RAIN,0,MORNING,3,MIXED,134.09901416242565,LOW,0.45,500,SOUTH_ROAD,NORTH_ROAD,WEST_AIR,SOUTH_AIR,NORTH_AIR,0.3214285714285714,0.3291139240506329,0.2842105263157894,0.2891566265060241,0.325,1.0,3,1,1
NORTH,AIR,0,WEST,ROAD,1,SOUTH,AIR,1,WEST,AIR,0,EAST,SEA,1,1,1,0,1,1,1,1,HIGH,1,CLEAR,0,MORNING,4,MIXED,165.24101207967772,MODERATE,0.34,250,NORTH_AIR,WEST_ROAD,SOUTH_AIR,WEST_AIR,EAST_SEA,0.3857142857142857,0.2790697674418604,0.2602739726027397,0.3218390804597701,0.2988505747126437,1.2,3,1,2
NORTH,SEA,1,WEST,AIR,1,WEST,AIR,1,EAST,AIR,1,NORTH,SEA,0,1,1,1,1,1,1,1,MEDIUM,0,SNOW,0,MORNING,5,RURAL,386.7637780292268,MODERATE,0.24,100,NORTH_SEA,WEST_AIR,WEST_AIR,EAST_AIR,NORTH_SEA,0.2894736842105263,0.2790697674418604,0.2842105263157894,0.2528735632183908,0.3246753246753247,1.2,3,1,4
EAST,ROAD,0,NORTH,ROAD,0,SOUTH,AIR,0,WEST,AIR,0,WEST,SEA,1,1,0,1,1,1,1,1,LOW,0,CLEAR,0,EVENING,4,URBAN,72.54559800122155,MODERATE,0.32,100,EAST_ROAD,NORTH_ROAD,WEST_AIR,WEST_AIR,WEST_SEA,0.3026315789473684,0.3291139240506329,0.2826086956521739,0.3218390804597701,0.4,1.2,3,1,1
SOUTH,ROAD,1,WEST,ROAD,0,SOUTH,ROAD,0,EAST,AIR,1,SOUTH,ROAD,1,1,1,1,0,1,1,1,LOW,0,RAIN,0,EVENING,4,URBAN,17.97403867116555,LOW,0.0,100,SOUTH_ROAD,WEST_ROAD,SOUTH_ROAD,EAST_AIR,SOUTH_ROAD,0.3214285714285714,0.2790697674418604,0.2888888888888888,0.2528735632183908,0.2988505747126437,1.0,3,1,3
SOUTH,SEA,1,NORTH,ROAD,0,SOUTH,AIR,1,EAST,SEA,1,WEST,ROAD,1,1,1,0,1,1,0,1,MEDIUM,1,RAIN,0,EVENING,3,URBAN,39.267105780222536,LOW,0.04,250,SOUTH_SEA,NORTH_ROAD,SOUTH_AIR,EAST_SEA,WEST_ROAD,0.3164556962025316,0.3291139240506329,0.2602739726027397,0.2391304347826087,0.3555555555555555,1.0,3,1,3
SOUTH,AIR,1,SOUTH,SEA,1,NORTH,AIR,1,WEST,AIR,0,EAST,AIR,0,1,0,1,0,0,0,1,LOW,1,CLEAR,0,NIGHT,1,URBAN,43.4950321453762,HIGH,0.19,100,SOUTH_AIR,SOUTH_SEA,NORTH_AIR,WEST_AIR,EAST_AIR,0.2702702702702703,0.3163265306122449,0.2602739726027397,0.3218390804597701,0.2988505747126437,1.5,3,1,1
EAST,ROAD,0,WEST,AIR,0,WEST,SEA,1,WEST,ROAD,1,SOUTH,SEA,1,1,0,1,1,0,1,1,MEDIUM,0,STORM,0,MORNING,3,RURAL,218.52229498924112,MODERATE,0.5,500,EAST_ROAD,WEST_AIR,WEST_SEA,WEST_ROAD,SOUTH_SEA,0.3026315789473684,0.2790697674418604,0.35,0.3563218390804598,0.3452380952380952,1.2,3,1,2
EAST,ROAD,1,SOUTH,AIR,0,EAST,AIR,1,EAST,AIR,0,EAST,SEA,1,0,1,0,0,0,1,1,LOW,1,CLEAR,0,EVENING,2,URBAN,55.23094688170982,HIGH,0.53,100,EAST_ROAD,SOUTH_AIR,EAST_AIR,EAST_AIR,EAST_SEA,0.3026315789473684,0.3,0.3835616438356164,0.2528735632183908,0.2988505747126437,1.5,3,1,2
SOUTH,AIR,0,NORTH,AIR,1,WEST,ROAD,1,EAST,ROAD,1,WEST,SEA,1,0,0,1,1,1,0,1,MEDIUM,0,CLEAR,0,MORNING,3,RURAL,184.3289032744856,MODERATE,0.53,100,SOUTH_AIR,NORTH_AIR,WEST_ROAD,EAST_ROAD,WEST_SEA,0.2702702702702703,0.2790697674418604,0.2717391304347826,0.2647058823529412,0.4,1.2,3,1,3
NORTH,AIR,0,SOUTH,AIR,1,NORTH,AIR,0,SOUTH,AIR,1,EAST,ROAD,1,0,0,0,0,0,0,0,MEDIUM,0,CLEAR,0,EVENING,0,URBAN,77.3265861486579,HIGH,0.67,500,NORTH_AIR,SOUTH_AIR,NORTH_AIR,SOUTH_AIR,EAST_ROAD,0.3857142857142857,0.3,0.2602739726027397,0.2891566265060241,0.2988505747126437,1.5,3,1,0
WEST,AIR,0,SOUTH,SEA,0,NORTH,SEA,0,WEST,SEA,1,WEST,ROAD,0,0,0,0,1,0,1,0,MEDIUM,0,CLEAR,0,EVENING,2,RURAL,339.4433025366386,MODERATE,0.53,100,WEST_AIR,SOUTH_SEA,NORTH_SEA,WEST_SEA,WEST_ROAD,0.3461538461538461,0.3163265306122449,0.2738095238095238,0.2352941176470588,0.3555555555555555,1.2,3,1,0
EAST,ROAD,0,EAST,AIR,0,NORTH,SEA,0,EAST,SEA,1,EAST,ROAD,1,0,1,1,0,1,1,1,LOW,0,CLEAR,0,NIGHT,4,URBAN,16.935245122089803,HIGH,0.71,250,EAST_ROAD,EAST_AIR,NORTH_SEA,EAST_SEA,EAST_ROAD,0.3026315789473684,0.3285714285714285,0.2738095238095238,0.2391304347826087,0.2988505747126437,1.5,3,1,2
SOUTH,AIR,0,WEST,ROAD,1,NORTH,SEA,1,SOUTH,SEA,1,EAST,AIR,0,1,1,1,1,1,0,1,LOW,0,RAIN,0,NIGHT,4,URBAN,89.98732718820794,LOW,0.46,250,SOUTH_AIR,WEST_ROAD,NORTH_SEA,SOUTH_SEA,EAST_AIR,0.2702702702702703,0.2790697674418604,0.2738095238095238,0.2183908045977011,0.2988505747126437,1.0,3,1,3
